127.0.0.1 - - [22/Jun/2023:14:08:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:08:49 +0900] "GET /jsp_project/board/board1List2.jsp HTTP/1.1" 200 5082
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:08:49 +0900] "GET /jsp_project/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:08:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:09:19 +0900] "GET /jsp_project/post/postList.jsp HTTP/1.1" 500 2772
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:11:57 +0900] "GET /jsp_project/post/postList.jsp HTTP/1.1" 500 2772
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:12:12 +0900] "GET /jsp_project/post/postList.jsp HTTP/1.1" 500 4219
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:12:49 +0900] "GET /jsp_project/post/postList.jsp HTTP/1.1" 200 4964
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:12:53 +0900] "GET /jsp_project/post/postList.jsp?viewPage=1 HTTP/1.1" 200 4964
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:12:54 +0900] "GET /jsp_project/post/postList.jsp?viewPage=2 HTTP/1.1" 200 4964
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:12:55 +0900] "GET /jsp_project/post/postList.jsp?viewPage=3 HTTP/1.1" 200 4964
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:12:56 +0900] "GET /jsp_project/post/postList.jsp?viewPage=5 HTTP/1.1" 200 4964
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:12:57 +0900] "GET /jsp_project/post/postList.jsp?viewPage=7 HTTP/1.1" 200 4964
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:12:58 +0900] "GET /jsp_project/post/postList.jsp?viewPage=9 HTTP/1.1" 200 4964
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:13:38 +0900] "GET /jsp_project/post/postList.jsp?viewPage=2 HTTP/1.1" 200 4964
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:13:38 +0900] "GET /jsp_project/post/postList.jsp?viewPage=2 HTTP/1.1" 200 4964
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:13:46 +0900] "GET /jsp_project/post/postList.jsp?viewPage=3 HTTP/1.1" 200 4964
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:25:07 +0900] "GET /jsp_project/post/postList.jsp?viewPage=5283 HTTP/1.1" 200 4302
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:25:10 +0900] "GET /jsp_project/post/postList.jsp?viewPage=1 HTTP/1.1" 200 4671
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:25:12 +0900] "GET /jsp_project/post/postList.jsp?viewPage=3 HTTP/1.1" 200 4671
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:25:13 +0900] "GET /jsp_project/post/postList.jsp?viewPage=4 HTTP/1.1" 200 4671
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:25:15 +0900] "GET /jsp_project/post/postList.jsp?viewPage=6 HTTP/1.1" 200 4671
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:31:07 +0900] "GET /jsp_project/post/postList.jsp HTTP/1.1" 200 4634
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:31:09 +0900] "GET /jsp_project/post/postList.jsp?viewPage=2 HTTP/1.1" 200 4634
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:31:12 +0900] "GET /jsp_project/post/postList.jsp?viewPage=11 HTTP/1.1" 200 4701
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:31:13 +0900] "GET /jsp_project/post/postList.jsp?viewPage=10 HTTP/1.1" 200 4634
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:31:42 +0900] "GET /jsp_project/post/postList.jsp HTTP/1.1" 200 4682
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:31:44 +0900] "GET /jsp_project/post/postList.jsp?viewPage=0 HTTP/1.1" 200 4682
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:31:48 +0900] "GET /jsp_project/post/postList.jsp HTTP/1.1" 200 4634
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:31:51 +0900] "GET /jsp_project/post/postList.jsp?viewPage=11 HTTP/1.1" 200 4701
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:31:52 +0900] "GET /jsp_project/post/postList.jsp?viewPage=11 HTTP/1.1" 200 4701
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:31:53 +0900] "GET /jsp_project/post/postList.jsp?viewPage=11 HTTP/1.1" 200 4701
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:31:54 +0900] "GET /jsp_project/post/postList.jsp?viewPage=11 HTTP/1.1" 200 4701
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:31:55 +0900] "GET /jsp_project/post/postList.jsp?viewPage=20 HTTP/1.1" 200 4701
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:31:57 +0900] "GET /jsp_project/post/postList.jsp?viewPage=11 HTTP/1.1" 200 4701
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:31:58 +0900] "GET /jsp_project/post/postList.jsp?viewPage=11 HTTP/1.1" 200 4701
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:31:59 +0900] "GET /jsp_project/post/postList.jsp?viewPage=11 HTTP/1.1" 200 4701
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:33:56 +0900] "GET /jsp_project/post/postList.jsp?viewPage=14 HTTP/1.1" 200 4667
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:33:59 +0900] "GET /jsp_project/post/postList.jsp?viewPage=15 HTTP/1.1" 200 4667
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:34:15 +0900] "GET /jsp_project/post/postList.jsp HTTP/1.1" 200 4598
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:34:18 +0900] "GET /jsp_project/post/postList.jsp?viewPage=10 HTTP/1.1" 200 4598
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:34:22 +0900] "GET /jsp_project/post/postList.jsp?viewPage=1 HTTP/1.1" 200 4598
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:34:24 +0900] "GET /jsp_project/post/postList.jsp?viewPage=3 HTTP/1.1" 200 4598
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:34:40 +0900] "GET /jsp_project/post/postList.jsp?viewPage=10 HTTP/1.1" 200 4598
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:34:42 +0900] "GET /jsp_project/post/postList.jsp?viewPage=5283 HTTP/1.1" 200 4335
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:34:44 +0900] "GET /jsp_project/post/postList.jsp?viewPage=5280 HTTP/1.1" 200 4709
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:34:46 +0900] "GET /jsp_project/post/postList.jsp?viewPage=5270 HTTP/1.1" 200 4709
