0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:38:28 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 2418
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:38:30 +0900] "GET /jsp_project/board/board1Write.jsp HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:38:35 +0900] "POST /jsp_project/board/board1WriteSave.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:38:36 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:38:37 +0900] "GET /jsp_project/board/board1Write.jsp HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:38:42 +0900] "POST /jsp_project/board/board1WriteSave.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:38:43 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 2798
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:38:45 +0900] "GET /jsp_project/board/board1Write.jsp HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:38:52 +0900] "POST /jsp_project/board/board1WriteSave.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:38:53 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 2992
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:38:53 +0900] "GET /jsp_project/board/board1Write.jsp HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:39:00 +0900] "POST /jsp_project/board/board1WriteSave.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:39:00 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 3187
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:39:02 +0900] "GET /jsp_project/board/board1List.jsp?viewPage=2 HTTP/1.1" 200 1436
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:39:03 +0900] "GET /jsp_project/board/board1List.jsp?viewPage=1 HTTP/1.1" 200 3187
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:39:04 +0900] "GET /jsp_project/board/board1Write.jsp HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:39:09 +0900] "POST /jsp_project/board/board1WriteSave.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:39:10 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 3389
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:39:11 +0900] "GET /jsp_project/board/board1Write.jsp HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:39:16 +0900] "POST /jsp_project/board/board1WriteSave.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:39:17 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 3403
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:39:19 +0900] "GET /jsp_project/board/board1List.jsp?viewPage=2 HTTP/1.1" 200 1630
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:39:20 +0900] "GET /jsp_project/board/board1List.jsp?viewPage=1 HTTP/1.1" 200 3403
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:39:23 +0900] "GET /jsp_project/board/board1List.jsp?viewPage=2 HTTP/1.1" 200 1630
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:39:24 +0900] "GET /jsp_project/board/board1Detail.jsp?unq=1 HTTP/1.1" 200 1693
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:39:25 +0900] "GET /jsp_project/board/board1Modify.jsp?unq=1 HTTP/1.1" 200 2274
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:39:32 +0900] "POST /jsp_project/board/board1ModifySave.jsp HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:39:33 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 3403
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:39:34 +0900] "GET /jsp_project/board/board1List.jsp?viewPage=2 HTTP/1.1" 200 1631
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:39:36 +0900] "GET /jsp_project/board/board1List.jsp?viewPage=1 HTTP/1.1" 200 3403
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:39:55 +0900] "GET /jsp_project/board/board1Detail.jsp?unq=4 HTTP/1.1" 200 1729
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:39:56 +0900] "GET /jsp_project/board/board1Modify.jsp?unq=4 HTTP/1.1" 200 2310
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:40:12 +0900] "GET /jsp_project/board/board1Modify.jsp?unq=4 HTTP/1.1" 200 2310
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:40:19 +0900] "POST /jsp_project/board/board1ModifySave.jsp HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:40:20 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:42:19 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:42:22 +0900] "GET /jsp_project/board/board1Detail.jsp?unq=4 HTTP/1.1" 200 1723
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:42:24 +0900] "GET /jsp_project/board/board1Modify.jsp?unq=4 HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:42:28 +0900] "POST /jsp_project/board/board1ModifySave.jsp HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:42:28 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:21:25 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:21:27 +0900] "GET /jsp_project/board/board1Detail.jsp?unq=8 HTTP/1.1" 200 1690
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:21:31 +0900] "GET /jsp_project/board/board1Write.jsp HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:21:38 +0900] "GET /jsp_project/board/board1Pass.jsp HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:21:40 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:31:50 +0900] "GET /jsp_project/board/board1Pass.jsp HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:31:52 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:31:55 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [19/Jun/2023:17:31:57 +0900] "GET /jsp_project/board/board1List.jsp?viewPage=2 HTTP/1.1" 200 1631
